,angulo,xs,contagens,inc_w2
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,0.0,
3,14.0,,0.0,
4,18.0,,0.0,
5,22.0,21.091105,14.0,5.6368346
6,26.0,21.885355,17.0,5.307978
7,30.0,20.316519,18.0,4.788649
8,34.0,10.09218,10.0,3.1914277
9,38.0,11.916483,13.0,3.3050377
10,42.0,10.964256,13.0,3.0409377
11,46.0,14.906176,19.0,3.4197114
12,50.0,13.99737,19.0,3.211217
13,54.0,6.975721,10.0,2.2059166
14,58.0,4.6582656,7.0,1.7606589
15,62.0,2.5566528,4.0,1.2783264
16,66.0,0.61775535,1.0,0.61775535
17,70.0,,0.0,
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,,0.0,
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,,0.0,
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,0.784535,1.0,0.784535
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,,0.0,
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
