,angulo,xs,contagens,inc_w1
0,2.0,,0.0,
1,6.0,,0.0,
2,10.0,,2.0,
3,14.0,,1.0,
4,18.0,,2.0,
5,22.0,170.23532,113.0,16.014393
6,26.0,244.60112,190.0,17.745232
7,30.0,232.51122,206.0,16.199823
8,34.0,200.83443,199.0,14.236775
9,38.0,175.99728,192.0,12.701509
10,42.0,144.22214,171.0,11.028942
11,46.0,90.22158,115.0,8.413206
12,50.0,47.885727,65.0,5.939493
13,54.0,12.556297,18.0,2.9595475
14,58.0,3.3273327,5.0,1.4880284
15,62.0,2.5566528,4.0,1.2783264
16,66.0,,0.0,
17,70.0,,0.0,
18,74.0,,0.0,
19,78.0,,0.0,
20,82.0,,0.0,
21,86.0,,0.0,
22,90.0,,0.0,
23,94.0,,0.0,
24,98.0,,0.0,
25,102.0,,0.0,
26,106.0,0.5870904,1.0,0.5870904
27,110.0,,0.0,
28,114.0,,0.0,
29,118.0,,0.0,
30,122.0,0.66546625,1.0,0.66546625
31,126.0,,0.0,
32,130.0,,0.0,
33,134.0,,0.0,
34,138.0,,0.0,
35,142.0,,0.0,
36,146.0,1.0092173,1.0,1.0092173
37,150.0,,0.0,
38,154.0,,0.0,
39,158.0,,0.0,
40,162.0,,0.0,
41,166.0,,0.0,
42,170.0,,0.0,
43,174.0,,0.0,
44,178.0,,0.0,
